Rank	name	team	goal	assist	attackpoint	losspoint	cornerkick	foul	shoot	offside	warning	exit	norun	trip	replace	경기당 기록
1	무고사	 인천	14	0	14	0	0	16	56	8	0	0	0	18	6	0.78
2	주민규	제주	12	5	17	0	0	10	59	7	0	0	0	20	6	0.60
3	조규성	김천	11	2	13	0	0	30	65	10	1	0	0	20	8	0.55
4	엄원상	울산	9	4	13	0	0	9	28	6	0	0	0	19	14	0.47
5	레오나르도	울산	8	3	11	0	0	39	35	3	6	0	0	17	7	0.47
6	김대원	강원	8	3	11	0	71	7	36	3	0	0	0	19	9	0.42
7	이승우	수원FC	8	2	10	0	0	27	37	3	3	0	0	20	16	0.40
8	허용준	포항	7	3	10	0	0	15	29	9	2	0	0	15	16	0.47
9	고재현	대구	7	1	8	0	0	23	22	3	3	0	0	17	16	0.41
10	아마노	울산	6	1	7	0	69	12	41	4	3	0	0	18	9	0.33
11	임상협	포항	6	1	7	0	0	11	25	3	4	0	0	19	12	0.32
12	나상호	서울	5	3	8	0	41	13	25	2	2	0	0	15	4	0.33
13	세징야	대구	5	5	10	0	57	11	51	5	1	0	0	17	4	0.29
14	구스타보	전북	5	2	7	0	0	20	24	5	2	0	0	18	13	0.28
15	김승대	포항	4	0	4	0	0	8	7	1	0	0	0	10	11	0.40
16	제카	대구	4	2	6	0	0	34	25	7	5	0	0	12	7	0.33
17	쿠니모토	전북	4	1	5	0	25	20	11	1	2	0	0	14	9	0.29
18	김승준	수원FC	4	2	6	0	0	7	13	2	0	0	0	16	15	0.25
19	바코	울산	4	1	5	0	0	6	43	1	1	0	0	19	7	0.21
20	조영욱	서울	4	4	8	0	6	11	44	5	1	0	0	19	4	0.21
21	정재희	포항	4	2	6	0	10	3	29	3	0	0	0	20	17	0.20
22	구본철	성남	3	0	3	0	19	11	23	1	3	0	0	9	3	0.33
23	바로우	전북	3	3	6	0	1	10	11	8	3	0	0	13	9	0.23
25	사리치	수원	3	2	5	0	11	26	14	1	2	0	0	16	8	0.19
24	조나탄 링	제주	3	0	3	0	11	9	19	1	1	0	0	16	20	0.19
26	김현	수원FC	3	0	3	0	1	14	19	1	3	0	0	17	16	0.18
28	라마스	대구	3	1	4	0	8	15	27	1	2	0	0	18	6	0.17
27	뮬리치	성남	3	0	3	0	0	11	40	11	1	0	0	18	14	0.17
29	김주공	제주	3	0	3	0	2	5	13	4	1	0	0	19	19	0.16
30	오현규	수원	3	1	4	0	0	12	24	6	1	0	0	19	17	0.16
