stname,opdate,based,hteam,accnum,location,addrstmp,addrkey,url
서울 월드컵 경기장,2001년 11월 10일,서울,FC 서울,66704,서울특별시 마포구 월드컵로 240,1657112349582,2av87,https://blog.kakaocdn.net/dn/kWr1v/btqyqdOcKUZ/5bqzHwqJJdKvPBU4ekM1WK/img.jpg
김천 종합 운동장,2000년 4월 15일,김천,김천 상무 FC,25000,경상북도 김천시 운동장길 1,1657112788896,2av88,https://k-odyssey.com/news/data/20201208/yna1065624913136897_999.jpg
DBG 대구은행 파크,2019년 1월 19일,대구,대구 FC,12419,대구광역시 북구 고성로 191,1657113032759,2av89,http://www.kyongbuk.co.kr/news/photo/202106/2077344_501665_0008.jpg
춘천 송암 스포츠 타운,2009년 5월 10일,강원,강원 FC,20000,강원도 춘천시 스포츠타운길 136,1657116970183,2av8g,https://img1.daumcdn.net/thumb/R800x0/?scode=mtistory2&fname=https%3A%2F%2Fblog.kakaocdn.net%2Fdn%2Fdg4OMX%2FbtqyrEEqaCf%2FEkRfND6cXuAo6HvFN63zsK%2Fimg.jpg
탄천 종합 운동장,2002년 4월 1일,성남,성남 FC,20000,경기도 성남시 분당구 탄천로 215,1657117085140,2av8h,http://www.hmap.co.kr/upload/post/1613811122_Zxg_seongnam.jpg
수원 월드컵 경기장,2001년 5월 13일,수원삼성,수원 삼성 블루윙즈,43923,경기도 수원시 팔달구 월드컵로 310,1657117218682,2av8i,https://pbs.twimg.com/profile_images/693405337047535617/VAf2tc8c_400x400.png
수원 종합 운동장,1971년 10월,수원,수원 FC,15000,경기도 수원시 장안구 경수대로 893,1657117445723,2av8j,https://wiki.flayus.com/images/2/27/%EC%88%98%EC%9B%90_FC_2021.png
울산 문수 축구 경기장,2001년 4월 28일,울산,울산 현대,43554,울산광역시 남구 문수로 44,1657117579759,2av8k,https://www.uhfc.tv/pds/etimg/61d3eabd5d325.jpg
인천 축구 전용 경기장,2012년 3월 11일,인천,인천 유나이티드 FC,19298,인천광역시 중구 참외전로 246,1657117756412,2av8p,http://wmania.net/files/attach/images/1982644/197/579/004/e07578ceb5e49fc4b1f6d9893f114828.jpg
전주 월드컵 경기장,2001년 11월 8일,전북,전북 현대 모터스,36781,전라북도 전주시 덕진구 기린대로 1055,1657117852489,2av8q,http://www.hyundai-motorsfc.com/uploadFile/Board/008/0000068154_c.jpg
제주 월드컵 경기장,2001년 12월 9일,제주,제주 유나이티드 FC,29791,제주특별자치도 서귀포시 월드컵로 33,1657117978801,2av8r,https://upload.wikimedia.org/wikipedia/en/thumb/0/06/Jeju_United_FC.svg/1200px-Jeju_United_FC.svg.png
포항 스틸야드,1990년 11월 10일,포항,포항 스틸러스,25000,경상북도 포항시 남구 동해안로 6213번길 20,1657118087321,2av8s,https://blog.kakaocdn.net/dn/AjcG4/btqAXoGwvmK/uE3Kv7lwwD5qxTfc4g70S1/img.png
